EntityKind,Entity,File,CK_Suite,SumCyclomatic,AvgCyclomatic,FunctionCount,MethodCount,ClassCount,ClassCoupled,LackOfCohesion,LackOfCohesionMod,MaxInheritanceTree,ClassDerived,CountOutput,EfferentCoupling,AfferentCoupling,WMC,DIT,NOC,CBO,RFC,LCOM,CK_RISK_SCORE,ClassesInModule
Module,EmptyState.jsx,EmptyState.jsx,"WMC,DIT,NOC,CBO,RFC,LCOM",1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.6000000000000001,0.0
Module,serialize.js,serialize.js,"WMC,DIT,NOC,CBO,RFC,LCOM",22.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,22.0,0.0,0.0,4.0,6.0,0.0,11.0,0.0
Module,NavBar.jsx,NavBar.jsx,"WMC,DIT,NOC,CBO,RFC,LCOM",4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,2.0,2.0,0.0,2.5,0.0
Module,AuthContext.jsx,AuthContext.jsx,"WMC,DIT,NOC,CBO,RFC,LCOM",7.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,7.0,0.0,0.0,10.0,6.0,0.0,6.500000000000001,0.0
Module,NoticeContext.jsx,NoticeContext.jsx,"WMC,DIT,NOC,CBO,RFC,LCOM",9.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,9.0,0.0,0.0,11.0,7.0,0.0,7.75,0.0
Module,UserCard.jsx,UserCard.jsx,"WMC,DIT,NOC,CBO,RFC,LCOM",2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,1.25,0.0
Module,Avatar.jsx,Avatar.jsx,"WMC,DIT,NOC,CBO,RFC,LCOM",1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.8500000000000001,0.0
Module,PublicHomePage.jsx,PublicHomePage.jsx,"WMC,DIT,NOC,CBO,RFC,LCOM",1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.6000000000000001,0.0
Module,users.routes.js,users.routes.js,"WMC,DIT,NOC,CBO,RFC,LCOM",1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,1.4,0.0
Module,users.controller.js,users.controller.js,"WMC,DIT,NOC,CBO,RFC,LCOM",31.0,3.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,31.0,0.0,0.0,7.0,12.0,0.0,16.55,0.0
Module,auth.js,auth.js,"WMC,DIT,NOC,CBO,RFC,LCOM",6.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,0.0,0.0,2.0,2.0,0.0,3.3000000000000003,0.0
Module,upload.js,upload.js,"WMC,DIT,NOC,CBO,RFC,LCOM",2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,1.25,0.0
Module,errors.js,errors.js,"WMC,DIT,NOC,CBO,RFC,LCOM",3.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,4.0,3.0,0.0,2.8000000000000003,1.0
Module,ProfilePage.jsx,ProfilePage.jsx,"WMC,DIT,NOC,CBO,RFC,LCOM",35.0,2.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,35.0,0.0,0.0,9.0,16.0,0.0,19.45,0.0
Module,LoadingState.jsx,LoadingState.jsx,"WMC,DIT,NOC,CBO,RFC,LCOM",1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.6000000000000001,0.0
Module,PostComposer.jsx,PostComposer.jsx,"WMC,DIT,NOC,CBO,RFC,LCOM",10.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,10.0,0.0,0.0,2.0,4.0,0.0,5.3,0.0
Module,PostsList.jsx,PostsList.jsx,"WMC,DIT,NOC,CBO,RFC,LCOM",3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,2.0,2.0,0.0,2.1,0.0
Module,api.js,api.js,"WMC,DIT,NOC,CBO,RFC,LCOM",7.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,2.0,0.0,3.2,0.0
Module,format.js,format.js,"WMC,DIT,NOC,CBO,RFC,LCOM",4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,2.0,2.0,0.0,2.5,0.0
Module,auth.routes.js,auth.routes.js,"WMC,DIT,NOC,CBO,RFC,LCOM",1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.9,0.0
Module,auth.controller.js,auth.controller.js,"WMC,DIT,NOC,CBO,RFC,LCOM",14.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,14.0,0.0,0.0,4.0,6.0,0.0,7.800000000000001,0.0
Module,HomePage.jsx,HomePage.jsx,"WMC,DIT,NOC,CBO,RFC,LCOM",27.0,2.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,27.0,0.0,0.0,9.0,17.0,0.0,16.450000000000003,0.0
Module,user.model.js,user.model.js,"WMC,DIT,NOC,CBO,RFC,LCOM",1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.6000000000000001,0.0
Module,post.model.js,post.model.js,"WMC,DIT,NOC,CBO,RFC,LCOM",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Module,avatar.js,avatar.js,"WMC,DIT,NOC,CBO,RFC,LCOM",6.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,1.0,6.0,0.0,3.8500000000000005,0.0
Module,media.js,media.js,"WMC,DIT,NOC,CBO,RFC,LCOM",2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,1.0,0.0,1.5,0.0
Module,auth.js,auth.js,"WMC,DIT,NOC,CBO,RFC,LCOM",6.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,6.0,0.0,0.0,4.0,5.0,0.0,4.4,0.0
Module,ck_metrics.py,ck_metrics.py,"WMC,DIT,NOC,CBO,RFC,LCOM",38.0,3.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,38.0,0.0,0.0,1.0,11.0,0.0,17.650000000000002,0.0
Module,sys.py,sys.py,"WMC,DIT,NOC,CBO,RFC,LCOM",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.5,0.0
Module,datetime.py,datetime.py,"WMC,DIT,NOC,CBO,RFC,LCOM",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.5,0.0
Module,PostCard.jsx,PostCard.jsx,"WMC,DIT,NOC,CBO,RFC,LCOM",22.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,22.0,0.0,0.0,6.0,8.0,0.0,11.9,0.0
Module,EditProfilePage.jsx,EditProfilePage.jsx,"WMC,DIT,NOC,CBO,RFC,LCOM",28.0,2.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,28.0,0.0,0.0,4.0,15.0,0.0,15.200000000000001,0.0
Module,env.js,env.js,"WMC,DIT,NOC,CBO,RFC,LCOM",3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,3.0,1.0,0.0,2.1500000000000004,0.0
Module,NotFoundPage.jsx,NotFoundPage.jsx,"WMC,DIT,NOC,CBO,RFC,LCOM",1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.6000000000000001,0.0
Module,App.jsx,App.jsx,"WMC,DIT,NOC,CBO,RFC,LCOM",4.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,4.0,0.0,0.0,11.0,3.0,0.0,4.949999999999999,0.0
Module,Layout.jsx,Layout.jsx,"WMC,DIT,NOC,CBO,RFC,LCOM",1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,1.1,0.0
Module,SignInPage.jsx,SignInPage.jsx,"WMC,DIT,NOC,CBO,RFC,LCOM",10.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,10.0,0.0,0.0,2.0,6.0,0.0,5.7,0.0
Module,SignUpPage.jsx,SignUpPage.jsx,"WMC,DIT,NOC,CBO,RFC,LCOM",12.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,12.0,0.0,0.0,2.0,8.0,0.0,6.9,0.0
Module,UsersPage.jsx,UsersPage.jsx,"WMC,DIT,NOC,CBO,RFC,LCOM",20.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,20.0,0.0,0.0,6.0,9.0,0.0,11.3,0.0
Module,db.js,db.js,"WMC,DIT,NOC,CBO,RFC,LCOM",1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.8500000000000001,0.0
Module,NoticeRegion.jsx,NoticeRegion.jsx,"WMC,DIT,NOC,CBO,RFC,LCOM",2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,1.25,0.0
Module,routes.js,routes.js,"WMC,DIT,NOC,CBO,RFC,LCOM",4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,2.0,2.0,0.0,2.5,0.0
Module,dev-client.js,dev-client.js,"WMC,DIT,NOC,CBO,RFC,LCOM",1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0
Module,builtins.py,builtins.py,"WMC,DIT,NOC,CBO,RFC,LCOM",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.5,0.0
Module,posts.controller.js,posts.controller.js,"WMC,DIT,NOC,CBO,RFC,LCOM",21.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,21.0,0.0,0.0,5.0,12.0,0.0,12.05,0.0
Module,main.css,main.css,"WMC,DIT,NOC,CBO,RFC,LCOM",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Module,index.js,index.js,"WMC,DIT,NOC,CBO,RFC,LCOM",3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,2.0,1.0,0.0,1.9000000000000001,0.0
Module,app.js,app.js,"WMC,DIT,NOC,CBO,RFC,LCOM",4.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,4.0,0.0,0.0,6.0,2.0,0.0,3.5,0.0
Module,posts.routes.js,posts.routes.js,"WMC,DIT,NOC,CBO,RFC,LCOM",1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,1.4,0.0
Module,error.js,error.js,"WMC,DIT,NOC,CBO,RFC,LCOM",10.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,0.0,0.0,1.0,3.0,0.0,4.85,0.0
Module,render.jsx,render.jsx,"WMC,DIT,NOC,CBO,RFC,LCOM",3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,3.0,2.0,0.0,2.35,0.0
Module,build.js,build.js,"WMC,DIT,NOC,CBO,RFC,LCOM",2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,1.2000000000000002,0.0
Module,qmood_metrics.py,qmood_metrics.py,"WMC,DIT,NOC,CBO,RFC,LCOM",44.0,3.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,44.0,0.0,0.0,1.0,12.0,0.0,20.25,0.0
